epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,273.667,0.93562,3.68988,1.1064,0.03001,0.44521,0.08077,0.05479,0.70436,3.63342,0.92145,0.00017,0.00017,0.00017
2,539.995,0.91277,2.62621,1.03518,0.6357,0.23177,0.22141,0.15142,0.93473,2.82277,0.95175,0.000332675,0.000332675,0.000332675
3,803,0.87802,2.0584,1.03925,0.56911,0.31099,0.37211,0.29389,0.8012,2.84816,0.9497,0.00047753,0.00047753,0.00047753
4,1064.26,0.85833,1.67173,1.05198,0.63993,0.44985,0.55619,0.45391,0.71995,2.09276,0.9348,0.000604565,0.000604565,0.000604565
5,1319.41,0.81739,1.32598,1.04773,0.64739,0.63828,0.74046,0.59377,0.77974,1.65759,1.02014,0.00071378,0.00071378,0.00071378
6,1579.44,0.81472,1.1352,1.04891,0.83989,0.78167,0.86646,0.65441,0.85976,1.45331,1.12102,0.0007525,0.0007525,0.0007525
7,1840.09,0.78518,0.97861,1.04727,0.83642,0.84725,0.90187,0.73444,0.73274,1.19026,1.00762,0.000703,0.000703,0.000703
8,2102.87,0.7432,0.88105,1.03192,0.89601,0.8668,0.93641,0.77461,0.68712,1.01206,1.02003,0.0006535,0.0006535,0.0006535
9,2356.06,0.76654,0.87872,1.02908,0.89634,0.85117,0.92304,0.73984,0.75694,1.17631,1.02281,0.000604,0.000604,0.000604
10,2617.34,0.75065,0.84994,1.01508,0.89561,0.88961,0.95047,0.80084,0.63475,0.85352,0.94715,0.0005545,0.0005545,0.0005545
11,2861.74,0.68187,0.84165,0.97423,0.9149,0.83435,0.94091,0.79674,0.64752,1.09576,0.93835,0.000505,0.000505,0.000505
12,3109.74,0.64974,0.783,0.95796,0.88393,0.89862,0.95221,0.80464,0.63349,0.80767,0.94019,0.0004555,0.0004555,0.0004555
13,3356.92,0.64265,0.74226,0.93751,0.92895,0.86742,0.95379,0.81698,0.59476,0.79605,0.92587,0.000406,0.000406,0.000406
14,3601.95,0.62151,0.71787,0.94086,0.92043,0.88538,0.95833,0.80138,0.64156,0.74719,0.95501,0.0003565,0.0003565,0.0003565
15,3848,0.61227,0.694,0.92344,0.88421,0.91295,0.9593,0.82106,0.59888,0.76138,0.92895,0.000307,0.000307,0.000307
16,4094.8,0.5992,0.67362,0.92583,0.9058,0.91635,0.96493,0.82942,0.57813,0.68484,0.92205,0.0002575,0.0002575,0.0002575
17,4340.84,0.5869,0.64736,0.91753,0.90288,0.90377,0.96218,0.83243,0.57885,0.70895,0.91657,0.000208,0.000208,0.000208
18,4587.71,0.58183,0.63209,0.91861,0.90433,0.90517,0.96303,0.83136,0.56736,0.6909,0.9188,0.0001585,0.0001585,0.0001585
19,4836.24,0.57439,0.62464,0.91189,0.89638,0.91643,0.96155,0.82998,0.56716,0.67769,0.91328,0.000109,0.000109,0.000109
20,5084.32,0.57014,0.61277,0.90341,0.89493,0.91429,0.96096,0.82949,0.56763,0.66314,0.91185,5.95e-05,5.95e-05,5.95e-05
