epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,296.29,0.92332,3.8871,1.12318,0.02933,0.32281,0.05439,0.03498,0.73642,3.87949,0.93789,0.00014161,0.00014161,0.00014161
2,592.153,0.91017,2.87211,1.04667,0.54074,0.20129,0.1439,0.10968,0.81059,3.0148,0.90725,0.000277118,0.000277118,0.000277118
3,880.654,0.87051,2.2252,1.05379,0.59387,0.17168,0.16594,0.13261,0.78841,2.95068,0.98812,0.000397782,0.000397782,0.000397782
4,1160.91,0.87746,1.80475,1.07994,0.35158,0.41689,0.3154,0.25494,0.78248,2.16564,1.05129,0.000503603,0.000503603,0.000503603
5,1435.31,0.84571,1.49441,1.07229,0.53221,0.42113,0.45517,0.36813,0.79145,1.81466,1.06239,0.000594579,0.000594579,0.000594579
6,1710.65,0.83929,1.31773,1.09197,0.67979,0.55942,0.63546,0.51891,0.74997,1.5449,1.04139,0.000626832,0.000626832,0.000626832
7,1988.26,0.78748,1.16624,1.05182,0.64793,0.69915,0.7512,0.62546,0.69849,1.27016,1.03603,0.000585599,0.000585599,0.000585599
8,2270.09,0.74991,1.01576,1.02278,0.71153,0.77094,0.81144,0.68656,0.65961,1.14046,0.98688,0.000544365,0.000544365,0.000544365
9,2542.61,0.75679,0.99882,1.05072,0.76561,0.85417,0.85582,0.71592,0.67313,1.03167,0.98844,0.000503132,0.000503132,0.000503132
10,2821.59,0.72252,0.88906,1.01421,0.79136,0.83246,0.85735,0.7223,0.65438,0.96644,0.97845,0.000461898,0.000461898,0.000461898
11,3087.62,0.69373,0.91591,1.02394,0.77971,0.74226,0.83208,0.65998,0.77908,1.15103,1.07793,0.000420665,0.000420665,0.000420665
12,3352.22,0.66414,0.8714,1.0045,0.75543,0.87766,0.86044,0.72338,0.64382,0.82301,0.98723,0.000379431,0.000379431,0.000379431
13,3617.19,0.65488,0.79101,0.98242,0.75023,0.87455,0.86697,0.73838,0.63137,0.76447,0.98669,0.000338198,0.000338198,0.000338198
14,3886.07,0.6446,0.77444,0.96682,0.81676,0.8495,0.86737,0.74454,0.63326,0.73646,0.98207,0.000296964,0.000296964,0.000296964
15,4155.16,0.62215,0.73936,0.96646,0.82043,0.84966,0.87036,0.74548,0.61075,0.72081,0.9699,0.000255731,0.000255731,0.000255731
16,4428.82,0.61565,0.72921,0.95877,0.81487,0.83877,0.86973,0.74722,0.61016,0.72152,0.97322,0.000214497,0.000214497,0.000214497
17,4696.7,0.60485,0.70004,0.94339,0.80183,0.86962,0.87319,0.75078,0.58713,0.68754,0.94668,0.000173264,0.000173264,0.000173264
18,4962.17,0.59035,0.68231,0.94461,0.81053,0.88663,0.88131,0.75622,0.59571,0.67649,0.95841,0.000132031,0.000132031,0.000132031
19,5228.81,0.59583,0.68699,0.9393,0.82428,0.86938,0.87862,0.75735,0.57757,0.67853,0.94112,9.0797e-05,9.0797e-05,9.0797e-05
20,5497.57,0.58588,0.66411,0.9292,0.80979,0.89464,0.87882,0.75818,0.57427,0.65036,0.94318,4.95635e-05,4.95635e-05,4.95635e-05
